./lab6
current sum of generated num up to now is 0, adding 1 to it.
current sum of generated num up to now is 1, adding 8 to it.
current sum of generated num up to now is 9, adding 5 to it.
current sum of generated num up to now is 14, adding 0 to it.
current sum of generated num up to now is 14, adding 4 to it.
current sum of generated num up to now is 18, adding 8 to it.
current sum of generated num up to now is 26, adding 5 to it.
current sum of generated num up to now is 31, adding 8 to it.
current sum of generated num up to now is 39, adding 1 to it.
current sum of generated num up to now is 40, adding 2 to it.
current sum of generated num up to now is 42, adding 6 to it.
current sum of generated num up to now is 48, adding 4 to it.
current sum of generated num up to now is 52, adding 4 to it.
current sum of generated num up to now is 56, adding 8 to it.
current sum of generated num up to now is 64, adding 0 to it.
current sum of generated num up to now is 64, adding 7 to it.
current sum of generated num up to now is 71, adding 6 to it.
current sum of generated num up to now is 77, adding 7 to it.
current sum of generated num up to now is 84, adding 8 to it.
current sum of generated num up to now is 92, adding 1 to it.
current sum of generated num up to now is 93, adding 7 to it.
current sum of generated num up to now is 100, adding 2 to it.
current sum of generated num up to now is 102, adding 5 to it.
current sum of generated num up to now is 107, adding 2 to it.
current sum of generated num up to now is 109, adding 2 to it.
current sum of generated num up to now is 111, adding 4 to it.
current sum of generated num up to now is 115, adding 8 to it.
current sum of generated num up to now is 123, adding 1 to it.
current sum of generated num up to now is 124, adding 8 to it.
current sum of generated num up to now is 132, adding 4 to it.
current sum of generated num up to now is 136, adding 5 to it.
current sum of generated num up to now is 141, adding 0 to it.
current sum of generated num up to now is 141, adding 3 to it.
current sum of generated num up to now is 144, adding 1 to it.
current sum of generated num up to now is 145, adding 2 to it.
current sum of generated num up to now is 147, adding 9 to it.
current sum of generated num up to now is 156, adding 1 to it.
current sum of generated num up to now is 157, adding 7 to it.
current sum of generated num up to now is 164, adding 8 to it.
current sum of generated num up to now is 172, adding 2 to it.
current sum of generated num up to now is 174, adding 0 to it.
current sum of generated num up to now is 174, adding 4 to it.
current sum of generated num up to now is 178, adding 8 to it.
current sum of generated num up to now is 186, adding 4 to it.
current sum of generated num up to now is 190, adding 3 to it.
current sum of generated num up to now is 193, adding 8 to it.
current sum of generated num up to now is 201, adding 1 to it.
current sum of generated num up to now is 202, adding 1 to it.
current sum of generated num up to now is 203, adding 7 to it.
current sum of generated num up to now is 210, adding 2 to it.
current sum of generated num up to now is 212, adding 2 to it.
current sum of generated num up to now is 214, adding 4 to it.
current sum of generated num up to now is 218, adding 6 to it.
current sum of generated num up to now is 224, adding 9 to it.
current sum of generated num up to now is 233, adding 7 to it.
current sum of generated num up to now is 240, adding 0 to it.
current sum of generated num up to now is 240, adding 5 to it.
current sum of generated num up to now is 245, adding 7 to it.
current sum of generated num up to now is 252, adding 3 to it.
current sum of generated num up to now is 255, adding 4 to it.
current sum of generated num up to now is 259, adding 1 to it.
current sum of generated num up to now is 260, adding 1 to it.
current sum of generated num up to now is 261, adding 4 to it.
current sum of generated num up to now is 265, adding 6 to it.
current sum of generated num up to now is 271, adding 2 to it.
current sum of generated num up to now is 273, adding 8 to it.
current sum of generated num up to now is 281, adding 6 to it.
current sum of generated num up to now is 287, adding 5 to it.
current sum of generated num up to now is 292, adding 5 to it.
current sum of generated num up to now is 297, adding 4 to it.
current sum of generated num up to now is 301, adding 9 to it.
current sum of generated num up to now is 310, adding 7 to it.
current sum of generated num up to now is 317, adding 0 to it.
current sum of generated num up to now is 317, adding 7 to it.
current sum of generated num up to now is 324, adding 3 to it.
current sum of generated num up to now is 327, adding 5 to it.
current sum of generated num up to now is 332, adding 7 to it.
current sum of generated num up to now is 339, adding 7 to it.
current sum of generated num up to now is 346, adding 7 to it.
current sum of generated num up to now is 353, adding 4 to it.
current sum of generated num up to now is 357, adding 9 to it.
current sum of generated num up to now is 366, adding 1 to it.
current sum of generated num up to now is 367, adding 0 to it.
current sum of generated num up to now is 367, adding 7 to it.
current sum of generated num up to now is 374, adding 3 to it.
current sum of generated num up to now is 377, adding 7 to it.
current sum of generated num up to now is 384, adding 9 to it.
current sum of generated num up to now is 393, adding 8 to it.
current sum of generated num up to now is 401, adding 4 to it.
current sum of generated num up to now is 405, adding 2 to it.
current sum of generated num up to now is 407, adding 4 to it.
current sum of generated num up to now is 411, adding 8 to it.
current sum of generated num up to now is 419, adding 3 to it.
current sum of generated num up to now is 422, adding 0 to it.
current sum of generated num up to now is 422, adding 4 to it.
current sum of generated num up to now is 426, adding 7 to it.
current sum of generated num up to now is 433, adding 8 to it.
current sum of generated num up to now is 441, adding 0 to it.
current sum of generated num up to now is 441, adding 2 to it.
current sum of generated num up to now is 443, adding 6 to it.
current sum of generated num up to now is 449, adding 6 to it.
current sum of generated num up to now is 455, adding 3 to it.
current sum of generated num up to now is 458, adding 3 to it.
current sum of generated num up to now is 461, adding 7 to it.
current sum of generated num up to now is 468, adding 2 to it.
current sum of generated num up to now is 470, adding 7 to it.
current sum of generated num up to now is 477, adding 4 to it.
current sum of generated num up to now is 481, adding 9 to it.
current sum of generated num up to now is 490, adding 4 to it.
current sum of generated num up to now is 494, adding 3 to it.
current sum of generated num up to now is 497, adding 5 to it.
current sum of generated num up to now is 502, adding 5 to it.
current sum of generated num up to now is 507, adding 5 to it.
current sum of generated num up to now is 512, adding 6 to it.
current sum of generated num up to now is 518, adding 4 to it.
current sum of generated num up to now is 522, adding 0 to it.
current sum of generated num up to now is 522, adding 3 to it.
current sum of generated num up to now is 525, adding 3 to it.
current sum of generated num up to now is 528, adding 0 to it.
current sum of generated num up to now is 528, adding 0 to it.
current sum of generated num up to now is 528, adding 5 to it.
current sum of generated num up to now is 533, adding 5 to it.
current sum of generated num up to now is 538, adding 8 to it.
current sum of generated num up to now is 546, adding 9 to it.
current sum of generated num up to now is 555, adding 5 to it.
current sum of generated num up to now is 560, adding 4 to it.
current sum of generated num up to now is 564, adding 8 to it.
current sum of generated num up to now is 572, adding 6 to it.
current sum of generated num up to now is 578, adding 7 to it.
